Date,Distance walking,Step count
2021-07-23,0.180,286.000
2021-07-24,0.243,386.000
2021-07-25,0.237,371.000
2021-07-26,0.161,245.000
2021-07-27,5.657,8130.000
2021-07-28,1.008,1451.000
2021-07-29,0.226,346.000
2021-07-30,0.224,311.000
2021-07-31,0.618,772.000
2021-08-01,0.736,1024.000
2021-08-02,7.070,10853.000
2021-08-03,5.911,8409.000
2021-08-04,2.346,2714.000
2021-08-05,0.105,161.000
2021-08-06,5.651,8057.000
2021-08-07,1.965,2743.000
2021-08-08,0.133,201.000
2021-08-09,2.876,4247.000
2021-08-10,1.521,2067.000
2021-08-11,5.795,9679.000
2021-08-12,1.575,2195.000
2021-08-13,1.547,2151.000
2021-08-14,2.499,4029.000
2021-08-15,0.201,292.601
2021-08-16,0.188,276.399
2021-08-17,0.223,336.000
2021-08-18,4.819,7861.000
2021-08-19,1.459,1988.000
2021-08-20,2.395,3336.000
2021-08-21,2.119,2796.000
2021-08-22,2.091,2767.000
2021-08-23,3.075,4276.000
2021-08-24,3.409,4724.000
2021-08-25,5.742,8666.000
2021-08-26,1.865,2411.000
2021-08-27,6.679,10313.000
2021-08-28,4.864,7261.000
2021-08-29,0.221,336.000
2021-08-30,1.550,2142.000
2021-08-31,0.350,530.384
2021-09-01,3.498,5348.616
2021-09-02,5.605,7748.000
2021-09-03,2.163,3180.000
2021-09-04,1.742,2484.000
2021-09-05,4.765,7311.000
2021-09-06,5.716,8825.000
2021-09-07,0.418,549.000
2021-09-08,4.003,6942.000
2021-09-09,0.882,1452.000
2021-09-10,2.587,4012.000
2021-09-11,4.058,5380.774
2021-09-12,7.831,12319.226
2021-09-13,2.694,4201.000
2021-09-14,6.272,9451.000
2021-09-15,2.626,3716.000
2021-09-16,0.430,656.000
2021-09-17,4.647,6591.000
2021-09-18,9.404,13383.000
2021-09-19,4.895,6619.000
2021-09-20,0.177,283.000
2021-09-21,0.206,309.000
2021-09-22,3.887,5371.000
2021-09-23,5.403,8080.000
2021-09-24,4.595,6367.000
2021-09-25,2.216,3019.000
2021-09-26,2.688,3794.000
2021-09-27,2.236,3137.000
2021-09-28,9.695,15409.000
2021-09-29,0.066,95.903
2021-09-30,1.869,2711.097
2021-10-01,9.521,16039.000
2021-10-02,4.090,5673.000
2021-10-03,2.674,3820.000
2021-10-04,2.798,4010.000
2021-10-05,2.564,3862.000
2021-10-06,0.247,378.000
2021-10-07,1.335,1886.000
2021-10-08,0.086,139.000
2021-10-09,5.636,7936.000
2021-10-10,2.402,3278.000
2021-10-11,1.243,1746.000
2021-10-12,5.567,8058.000
2021-10-13,11.079,16539.000
2021-10-14,3.375,4945.000
2021-10-15,8.423,12042.000
2021-10-16,10.547,16247.128
2021-10-17,16.388,22408.971
2021-10-18,0.280,418.901
2021-10-19,5.846,9892.000
2021-10-20,14.990,22788.000
2021-10-21,3.540,5103.000
2021-10-22,2.080,3309.000
2021-10-23,5.421,7260.000
2021-10-24,6.001,8028.000
2021-10-25,0.082,131.000
2021-10-26,1.623,2413.000
2021-10-27,3.011,4583.000
2021-10-28,1.825,2579.000
2021-10-29,1.817,3069.000
2021-10-30,7.063,9389.000
2021-10-31,5.139,8353.000
2021-11-01,2.321,3309.000
2021-11-02,8.646,12580.000
2021-11-03,3.077,4253.000
2021-11-04,8.974,12727.000
2021-11-05,2.048,3165.000
2021-11-06,6.000,9131.000
2021-11-07,4.185,5768.000
2021-11-08,2.110,3018.000
2021-11-09,1.472,2416.000
2021-11-10,5.279,7533.000
2021-11-11,3.316,4785.000
2021-11-12,4.641,6848.000
2021-11-13,6.000,8827.000
2021-11-14,5.477,7760.588
2021-11-15,0.073,126.412
2021-11-16,2.993,4155.000
2021-11-17,4.800,6985.000
2021-11-18,4.592,6676.000
2021-11-19,1.022,1518.000
2021-11-20,6.164,9021.000
2021-11-21,4.803,6855.000
2021-11-22,1.461,2246.000
2021-11-23,2.034,3105.000
2021-11-24,2.832,4100.000
2021-11-25,3.371,5098.000
2021-11-26,1.474,2501.000
2021-11-27,4.878,6949.000
2021-11-28,3.984,5803.000
2021-11-29,1.792,2710.000
2021-11-30,2.424,3948.000
2021-12-01,3.649,5569.000
2021-12-02,5.694,8881.000
2021-12-03,1.858,2964.000
2021-12-04,4.153,6891.000
2021-12-05,3.793,6717.000
2021-12-06,2.589,4143.000
2021-12-07,0.978,1553.000
2021-12-08,2.327,3460.000
2021-12-09,0.484,704.000
2021-12-10,5.268,7752.000
2021-12-11,5.806,9632.000
2021-12-12,5.444,9026.000
2021-12-13,2.467,3788.000
2021-12-14,2.599,4220.000
2021-12-15,5.832,8219.000
2021-12-16,1.307,1956.000
2021-12-17,2.157,3421.000
2021-12-18,3.595,6413.000
2021-12-19,2.243,3398.000
2021-12-20,0.224,334.000
2021-12-21,2.172,3603.000
2021-12-22,6.086,9936.000
2021-12-23,0.266,440.000
2021-12-24,6.737,9873.000
2021-12-25,4.568,7343.000
2021-12-26,3.374,6329.000
2021-12-27,0.018,26.000
2021-12-28,8.417,13060.000
2021-12-29,6.180,9333.000
2021-12-30,2.060,3612.000
2021-12-31,0.748,1081.000
2022-01-01,1.839,3234.000
2022-01-02,3.188,6006.000
2022-01-03,4.325,8095.000
2022-01-04,2.979,5463.000
2022-01-05,1.832,2491.000
2022-01-06,5.459,10784.000
2022-01-07,8.640,16601.000
2022-01-08,5.618,10095.000
2022-01-09,3.088,5623.000
2022-01-10,1.810,3468.000
2022-01-11,0.450,823.000
2022-01-12,5.526,9442.000
2022-01-13,4.668,8193.000
2022-01-14,3.854,7274.000
2022-01-15,3.191,6312.000
2022-01-16,4.513,7204.000
2022-01-17,2.462,4511.000
2022-01-18,3.160,5855.000
